Date,Time,Room,Personnel Logs,Incident,Victim
9/01/2022,9:18 PM,Office,"Olga Paggitt, Kurtis Manston, Brigitta Breddy, Martica Eitter, Nero Simonite, Jessie Lages",,
8/02/2022,6:37 PM,Kitchen,"Brigitta Breddy, Martica Eitter",,
9/02/2022,4:21 AM,Entrance,"Waverley Keddie, Kristen Schofield",,
11/02/2022,10:55 PM,Kitchen,"Dorolice Matthews, Prudence Slaight, Leta Tonn, Jessie Lages, Tamiko Tomasoni",,
10/03/2022,12:39 AM,Toilet,"Ferrell Yakunikov, Marjory Greswell",,
11/03/2022,6:34 AM,Kitchen,"Ferrell Yakunikov, Waverley Keddie, Kristen Schofield",,
8/04/2022,1:31 AM,Lounge,"Gareth Lovie, Dorolice Matthews, Arie Mum, Alisun Gauge, Liuka Deesly, Cully McKirdy, Leta Tonn, Mada Pirolini, Olga Paggitt, Elle Banna, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni",Murder,Erek Sivorn
11/04/2022,2:24 AM,Garage,"Ferrell Yakunikov, Waverley Keddie",,
9/05/2022,8:14 PM,Balcony,"Jessie Lages, Tamiko Tomasoni",,
10/05/2022,2:42 AM,Toilet,"Edythe Rief, Kristopher Cannaway, Alexandra Malins, Alisun Gauge, Liuka Deesly, Cully McKirdy, Leta Tonn, Mada Pirolini, Olga Paggitt, Elle Banna, Martica Eitter, Nero Simonite,  Dorolice Matthews, Arie Mum, Jessie Lages, Tamiko Tomasoni",Murder,Eustacia Concannon
8/06/2022,5:42 PM,Toilet,"Alisun Gauge, Liuka Deesly, Cully McKirdy, Olga Paggitt",,
10/07/2022,1:26 PM,Office,"Orella Kubczak, Ferrell Yakunikov",,
10/07/2022,5:35 AM,Basement,"Liuka Deesly, Cully McKirdy, Olga Paggitt, Elle Banna",,
11/07/2022,6:09 PM,Office,"Waverley Keddie, Niven Caville, Wilma Grioli",,
10/08/2022,10:06 PM,Kitchen,"Dorolice Matthews, Arie Mum, Alisun Gauge",,
11/08/2022,10:55 AM,Yoga Room,"Kurtis Manston, Brigitta Breddy, Martica Eitter, Nero Simonite, Jessie Lages",,
8/09/2022,7:12 PM,Kitchen,"Waverley Keddie, Mario Sewley",,
8/09/2022,9:40 PM,Entrance,"Olga Paggitt, Elle Banna, Martguerita Bulstrode, Dorolice Matthews, Arie Mum, Alisun Gauge, Liuka Deesly, Cully McKirdy, Leta Tonn, Mada Pirolini, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni",Murder,Kort Gleeson
9/10/2022,1:56 AM,Yoga Room,"Ferrell Yakunikov, Wilma Grioli",,
8/11/2022,6:47 PM,Balcony,"Ferrell Yakunikov, Marjory Greswell",,
10/14/2022,4:41 AM,Office,"Dorolice Matthews, Arie Mum, Alisun Gauge, Liuka Deesly, Cully McKirdy, Leta Tonn, Mada Pirolini, Olga Paggitt, Elle Banna, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni",Murder,Creigh Alesio
10/15/2022,1:55 PM,Basement,"Alisun Gauge, Liuka Deesly, Cully McKirdy, Olga Paggitt",,
10/19/2022,12:02 PM,Office,"Jessie Lages, Tamiko Tomasoni",,
10/23/2022,12:13 PM,Kitchen,"Kristen Schofield, Allen Winspear",,
10/23/2022,7:13 AM,Toilet,"Meggy Ditts, Marjory Greswell",,
10/26/2022,7:47 AM,Yoga Room,"Cully McKirdy, Dorolice Matthews",,
10/27/2022,3:18 PM,Garage,"Liuka Deesly,  Mada Pirolini",,
10/31/2022,7:10 AM,Garage,"Jessie Lages, Tamiko Tomasoni, Martica Eitter, Nero Simonite, Jessie Lages",,
10/31/2022,7:43 AM,Garage,"Kristen Schofield, Cully McKirdy, Olga Paggitt",,
11/14/2022,3:46 PM,Basement,"Liuka Deesly,  Mada Pirolini, Dorolice Matthews, Alisun Gauge",,
11/16/2022,3:48 AM,Kitchen," Leta Tonn, Elle Banna, Arie Mum, Alisun Gauge",,
11/16/2022,5:38 PM,Basement,"Allen Winspear, Coleen Genders",,
11/22/2022,6:19 AM,Toilet,"Waverley Keddie, Marjory Greswell",,
11/24/2022,10:17 PM,Balcony,"Traci Eland, iuka Deesly,  Mada Pirolini, Nero Simonite, Jessie Lages",,
11/24/2022,10:28 PM,Toilet,"Kurtis Manston, Brigitta Breddy, Cully McKirdy, Leta Tonn, Dorolice Matthews, Arie Mum, Alisun Gauge, Liuka Deesly,  Mada Pirolini, Olga Paggitt, Elle Banna, Martica Eitter, Nero Simonite, Jessie Lages, Tamiko Tomasoni",Murder,Jacquelynn Thowes
11/27/2022,6:58 PM,Kitchen,"Nero Simonite, Jessie Lages, Juliet Groarty",,
8/15/2022,4:18 AM,Entrance,"Marjory Greswell, Allen Winspear",,
8/15/2022,11:07 PM,Basement,"Martica Eitter, Nero Simonite, Jessie Lages",,
8/16/2022,8:48 AM,Kitchen,"Alisun Gauge, Liuka Deesly, Cully McKirdy, Olga Paggitt",,
8/16/2022,3:35 PM,Garage,"Liuka Deesly,  Mada Pirolini, Nero Simonite, Jessie Lages",,
